page_norm,views,users,eng_sec,conv_a,conv_b,cvr_a,cvr_b,cvr_proxy,conv_total_proxy
/,753,234,321.8418803418804,0,0,0.0,0.0,0.0,0
/7-24-yol-yardim,4,4,10.25,0,0,0.0,0.0,0.0,0
/author/isahusta,1,1,12.0,0,0,0.0,0.0,0.0,0
/blog,37,5,55.08333333333334,0,0,0.0,0.0,0.0,0
/blog/araba-neden-hararet-yapar,2,2,27.0,0,0,0.0,0.0,0.0,0
/blog/cvt-sanziman-tamiri,91,51,89.41176470588235,0,0,0.0,0.0,0.0,0
/blog/dogru-motor-yagi-nasil-secilir,4,4,23.666666666666668,0,0,0.0,0.0,0.0,0
/blog/elantra-periyodik-bakim-fiyatlari,30,24,38.4,0,0,0.0,0.0,0.0,0
/blog/fren-balatasi-bittigi-nasil-anlasilir,1,1,26.0,0,0,0.0,0.0,0.0,0
/blog/hyundai-accent-baski-balata-degisimi,11,9,71.6,0,0,0.0,0.0,0.0,0
/blog/hyundai-accent-periyodik-bakim-fiyatlari,11,11,46.5,0,0,0.0,0.0,0.0,0
/blog/hyundai-i10-motor-yagi-degisimi,21,12,29.485714285714284,0,0,0.0,0.0,0.0,0
/blog/hyundai-i10-ozel-servis,6,6,35.75,0,0,0.0,0.0,0.0,0
/blog/hyundai-i20-periyodik-bakim-fiyatlari-2026,113,101,54.928458498023716,2,0,0.019801980198019802,0.0,0.019801980198019802,2
/blog/hyundai-i30-periyodik-bakim-fiyatlari,75,67,47.67521367521367,0,0,0.0,0.0,0.0,0
/blog/hyundai-ix35-periyodik-bakimlar,19,19,56.4715909090909,0,0,0.0,0.0,0.0,0
/blog/hyundai-periyodik-bakim-fiyatlari-2026,493,429,50.97329093799682,5,0,0.011655011655011656,0.0,0.011655011655011656,5
/blog/hyundai-periyodik-bakim-servisi,11,11,15.45,0,0,0.0,0.0,0.0,0
/blog/hyundai-tucson-periyodik-bakim-fiyatlari-2026,53,51,51.1444099378882,3,0,0.058823529411764705,0.0,0.058823529411764705,3
/blog/hyundai-tucson-trigger-degisimi,192,154,62.305806938159876,0,0,0.0,0.0,0.0,0
/blog/kia-periyodik-bakim-fiyatlari-2026,189,161,50.75155279503105,1,0,0.006211180124223602,0.0,0.006211180124223602,1
/blog/kia-sportage-periyodik-bakim-fiyatlari-2026,1066,995,88.52313883299799,2,0,0.0020100502512562816,0.0,0.0020100502512562816,2
/blog/motor-yag-kacagi-tamiri,78,71,58.49031986531987,0,0,0.0,0.0,0.0,0
/blog/nissan-micra-periyodik-bakim-fiyatlari,25,25,61.62662337662338,0,0,0.0,0.0,0.0,0
/blog/nissan-periyodik-bakim-fiyatlari-2026,157,143,54.73426573426573,0,0,0.0,0.0,0.0,0
/blog/nissan-qashqai-periyodik-bakim-fiyatlari-2026,39,38,43.526315789473685,0,0,0.0,0.0,0.0,0
/blog/otomatik-sanziman-yagi-degisimi,10,10,33.6,0,0,0.0,0.0,0.0,0
/blog/otomatik-sanziman-yagi-degisimi-fiyatlari-2026,59,52,88.78205128205127,0,0,0.0,0.0,0.0,0
/blog/sanziman-tamiri-fiyatlari-2026,315,275,56.24363636363636,1,0,0.0036363636363636364,0.0,0.0036363636363636364,1
/blog/toyota-chr-hibrit-bakim-fiyatlari-2026,97,91,51.89010989010989,0,0,0.0,0.0,0.0,0
/blog/toyota-corolla-periyodik-bakim-fiyatlari-2026,842,770,36.29220779220779,0,0,0.0,0.0,0.0,0
/blog/toyota-periyodik-bakim-fiyatlari-2026,84,76,40.231337161607875,0,0,0.0,0.0,0.0,0
/blog/triger-kayisi-ne-zaman-degisir,2,3,14.666666666666666,0,0,0.0,0.0,0.0,0
/blog/triger-seti-degisim-fiyatlari-2026,200,171,51.336062190423775,0,2,0.0,0.011695906432748537,0.011695906432748537,2
/gebze-hyundai-servis,125,97,23.92904411764706,1,2,0.010309278350515464,0.020618556701030927,0.020618556701030927,3
/gebze-kia-servis,93,77,29.805194805194805,0,6,0.0,0.07792207792207792,0.07792207792207792,6
/gebze-kia-servisi,3,3,25.0,0,0,0.0,0.0,0.0,0
/gebze-nissan-servis,77,69,11.786764705882353,0,2,0.0,0.028985507246376812,0.028985507246376812,2
/gebze-toyota-servis,38,33,16.962962962962962,0,0,0.0,0.0,0.0,0
/hakkimizda,40,33,24.107142857142858,1,0,0.030303030303030304,0.0,0.030303030303030304,1
/hizmetlerimiz,26,6,36.66666666666666,0,0,0.0,0.0,0.0,0
/hyundai-i10-ozel-servis,1,1,1.0,0,0,0.0,0.0,0.0,0
/hyundai-ozel-servis,22,20,2139.3,0,0,0.0,0.0,0.0,0
/hyundai-ozel-servis-gebze,9,5,16.6,0,0,0.0,0.0,0.0,0
/iletisim,132,74,52.3703125,2,0,0.02702702702702703,0.0,0.02702702702702703,2
/kia-ozel-servis,14,17,59.8235294117647,0,0,0.0,0.0,0.0,0
/kia-ozel-servis-gebze-tuzla,2,2,115.5,0,0,0.0,0.0,0.0,0
/kurtkoy-hyundai-servis,3,3,10.666666666666666,0,0,0.0,0.0,0.0,0
/kurtkoy-kia-servis,2,2,0.0,0,0,0.0,0.0,0.0,0
/kurtkoy-nissan-servis,3,3,7.0,0,0,0.0,0.0,0.0,0
/kurtkoy-toyota-servis,1,1,0.0,0,0,0.0,0.0,0.0,0
/modeller,1,1,0.0,0,0,0.0,0.0,0.0,0
/modeller/hyundai-accent-blue,5,6,16.25,0,0,0.0,0.0,0.0,0
/modeller/hyundai-bayon,5,5,3.1666666666666665,0,0,0.0,0.0,0.0,0
/modeller/hyundai-elantra,3,3,80.0,0,0,0.0,0.0,0.0,0
/modeller/hyundai-i10,3,3,26.0,0,0,0.0,0.0,0.0,0
/modeller/hyundai-i20,10,9,21.625,0,0,0.0,0.0,0.0,0
/modeller/hyundai-i30,5,5,35.25,0,0,0.0,0.0,0.0,0
/modeller/hyundai-ix35,4,4,2.5,0,0,0.0,0.0,0.0,0
/modeller/hyundai-kona,4,4,0.0,0,0,0.0,0.0,0.0,0
/modeller/hyundai-santa-fe,4,4,36.25,0,0,0.0,0.0,0.0,0
/modeller/hyundai-tucson,2,5,129.4,0,0,0.0,0.0,0.0,0
/modeller/kia-ceed,5,6,4.0,0,0,0.0,0.0,0.0,0
/modeller/kia-cerato,3,3,0.0,0,0,0.0,0.0,0.0,0
/modeller/kia-niro,0,1,7.0,0,0,0.0,0.0,0.0,0
/modeller/kia-picanto,2,2,4.0,0,0,0.0,0.0,0.0,0
/modeller/kia-soul,0,1,22.0,0,0,0.0,0.0,0.0,0
/modeller/kia-sportage,8,8,30.4,0,0,0.0,0.0,0.0,0
/modeller/kia-stonic,2,2,0.0,0,0,0.0,0.0,0.0,0
/modeller/nissan-juke,2,1,6.0,0,0,0.0,0.0,0.0,0
/modeller/nissan-micra,5,2,32.5,0,0,0.0,0.0,0.0,0
/modeller/toyota-auris,2,1,20.0,0,0,0.0,0.0,0.0,0
/modeller/toyota-avensis,15,1,680.0,0,0,0.0,0.0,0.0,0
/modeller/toyota-camry,8,8,9.625,0,0,0.0,0.0,0.0,0
/modeller/toyota-chr,3,1,70.0,0,0,0.0,0.0,0.0,0
/modeller/toyota-corolla,2,4,101.25,0,0,0.0,0.0,0.0,0
/modeller/toyota-hilux,8,3,64.0,0,0,0.0,0.0,0.0,0
/modeller/toyota-proace,2,1,263.0,0,0,0.0,0.0,0.0,0
/nissan-ozel-servis,19,17,32.576388888888886,0,0,0.0,0.0,0.0,0
/nissan-ozel-servis-gebze,3,2,71.0,0,0,0.0,0.0,0.0,0
/pendik-hyundai-servis,23,22,52.31818181818182,0,0,0.0,0.0,0.0,0
/pendik-kia-servis,5,5,6.2,0,0,0.0,0.0,0.0,0
/pendik-nissan-servis,1,1,37.0,0,0,0.0,0.0,0.0,0
/pendik-toyota-servis,1,1,4.0,0,0,0.0,0.0,0.0,0
/servis-verilen-modeller,1,1,8.0,0,0,0.0,0.0,0.0,0
/toyota-ozel-servis,5,8,25.33333333333333,0,0,0.0,0.0,0.0,0
/tuzla-hyundai-servis,9,10,15.3,0,0,0.0,0.0,0.0,0
/tuzla-kia-servis,42,35,28.910714285714285,0,2,0.0,0.05714285714285714,0.05714285714285714,2
/tuzla-nissan-servis,11,6,39.7,0,0,0.0,0.0,0.0,0
