page_norm,views,users,eng_sec,conv_a,conv_b,cvr_a,cvr_b,cvr_proxy,conv_total_proxy,intent,pain,immediacy,wrong_risk,norm_users,cvr_gap_to5,leverage_score,traffic_quality_score,rewrite_urgency_score
/blog/kia-sportage-periyodik-bakim-fiyatlari-2026,1066,995,88.52313883299799,2,0,0.0020100502512562,0.0,0.0020100502512562,2,Commercial,Medium,Medium,High,1.0,0.959798994974876,9.69949748743719,5.453448720180665,9.89949748743719
/blog/toyota-corolla-periyodik-bakim-fiyatlari-2026,842,770,36.29220779220779,0,0,0.0,0.0,0.0,0,Commercial,Medium,Medium,High,0.7738693467336684,1.0,8.782412060301507,5.392411311868611,9.095477386934673
/blog/hyundai-periyodik-bakim-fiyatlari-2026,493,429,50.97329093799682,5,0,0.0116550116550116,0.0,0.0116550116550116,5,Commercial,Medium,Medium,High,0.4311557788944724,0.766899766899768,6.657450422274546,5.409567721845928,7.141872532827309
/blog/sanziman-tamiri-fiyatlari-2026,315,275,56.24363636363636,1,0,0.0036363636363636,0.0,0.0036363636363636,1,Commercial,High,High,High,0.27638190954773867,0.927272727272728,6.361900411146644,5.41572668204978,6.923709456372774
/blog/hyundai-tucson-trigger-degisimi,192,154,62.30580693815988,0,0,0.0,0.0,0.0,0,Commercial,Low,Low,High,0.15477386934673368,1.0,5.996482412060301,5.4228109743118775,6.619095477386935
/,753,234,321.8418803418804,0,0,0.0,0.0,0.0,0,Mixed,Low,Low,High,0.23517587939698492,1.0,5.958291457286432,4.626106530572945,6.94070351758794
/blog/nissan-periyodik-bakim-fiyatlari-2026,157,143,54.73426573426573,0,0,0.0,0.0,0.0,0,Commercial,Medium,Medium,High,0.14371859296482412,1.0,5.946733668341708,5.413962821640568,6.574874371859297
/blog/kia-periyodik-bakim-fiyatlari-2026,189,161,50.75155279503105,1,0,0.0062111801242236,0.0,0.0062111801242236,1,Commercial,Medium,Medium,High,0.16180904522613065,0.875776397515528,5.717581697306409,5.409308597198887,6.336677174693342
/blog/toyota-chr-hibrit-bakim-fiyatlari-2026,97,91,51.89010989010989,0,0,0.0,0.0,0.0,0,Commercial,Medium,Medium,High,0.0914572864321608,1.0,5.711557788944724,5.410639122481782,6.365829145728643
/blog/toyota-periyodik-bakim-fiyatlari-2026,84,76,40.23133716160788,0,0,0.0,0.0,0.0,0,Commercial,Medium,Medium,High,0.0763819095477387,1.0,5.643718592964824,5.397014604264956,6.305527638190956
/blog/motor-yag-kacagi-tamiri,78,71,58.49031986531987,0,0,0.0,0.0,0.0,0,Commercial,High,Low,High,0.07135678391959799,1.0,5.621105527638191,5.41835217111359,6.2854271356783915
/blog/hyundai-i30-periyodik-bakim-fiyatlari,75,67,47.67521367521367,0,0,0.0,0.0,0.0,0,Commercial,Medium,Medium,High,0.06733668341708543,1.0,5.603015075376884,5.4057135671425405,6.269346733668342
/blog/otomatik-sanziman-yagi-degisimi-fiyatlari-2026,59,52,88.78205128205127,0,0,0.0,0.0,0.0,0,Commercial,High,High,High,0.05226130653266332,1.0,5.535175879396985,5.453751286965423,6.209045226130653
/blog/cvt-sanziman-tamiri,91,51,89.41176470588235,0,0,0.0,0.0,0.0,0,Commercial,High,High,High,0.05125628140703518,1.0,5.530653266331659,5.454487174199368,6.205025125628141
/blog/triger-seti-degisim-fiyatlari-2026,200,171,51.336062190423775,0,2,0.0,0.0116959064327485,0.0116959064327485,2,Commercial,High,High,High,0.17185929648241205,0.7660818713450301,5.48857151253343,5.409991658708952,6.102641864292223
